Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
L- Glutamine,230831_Std_4uMStdsMix1InH2O_1,"L- Glutamine 0(15N), 0(13C)",11.4,286260832,3910211,13921686,-4,L- Glutamine
L- Glutamine,230831_Std_4uMStdsMix1InH2O_2,"L- Glutamine 0(15N), 0(13C)",11.21,260989808,3689850,11301857,-4,L- Glutamine
L- Glutamine,230831_Std_4uMStdsMix1InH2O_3,"L- Glutamine 0(15N), 0(13C)",10.73,141455168,7552062,9001988,-4.7,L- Glutamine
L- Glutamine,230831_Std_4uMStdsMix1InMatrix_1,"L- Glutamine 0(15N), 0(13C)",11.35,233948208,3496661,15464403,-3.6,L- Glutamine
L- Glutamine,230831_Std_4uMStdsMix1InMatrix_2,"L- Glutamine 0(15N), 0(13C)",11.21,256643136,3148965,16327608,-3.5,L- Glutamine
L- Glutamine,230831_Std_4uMStdsMix1InMatrix_3,"L- Glutamine 0(15N), 0(13C)",11.96,350436,528520,52514,-4.4,L- Glutamine
L- Glutamine,230831_Std_4uMStdsMix2InH2O_1,"L- Glutamine 0(15N), 0(13C)",11.59,88351,6683,18357,-1.4,L- Glutamine
L- Glutamine,230831_Std_4uMStdsMix2InH2O_2,"L- Glutamine 0(15N), 0(13C)",12.18,68700,0,12909,-1.3,L- Glutamine
L- Glutamine,230831_Std_4uMStdsMix2InH2O_3,"L- Glutamine 0(15N), 0(13C)",11.86,62168,0,13910,-1.7,L- Glutamine
L- Glutamine,230831_Std_4uMStdsMix2InMatrix_1,"L- Glutamine 0(15N), 0(13C)",11.56,320612,0,25386,-2,L- Glutamine
L- Glutamine,230831_Std_4uMStdsMix2InMatrix_2,"L- Glutamine 0(15N), 0(13C)",11.68,85525,0,14648,-2.1,L- Glutamine
L- Glutamine,230831_Std_4uMStdsMix2InMatrix_3,"L- Glutamine 0(15N), 0(13C)",11.62,68606,0,15629,-2.6,L- Glutamine
L- Glutamine,230831_Std_H2OinMatrix_1,"L- Glutamine 0(15N), 0(13C)",11.39,1600553,611301,93337,-2.4,L- Glutamine
L- Glutamine,230831_Std_H2OinMatrix_2,"L- Glutamine 0(15N), 0(13C)",11.49,176527,155934,12063,-2.6,L- Glutamine
L- Glutamine,230831_Std_H2OinMatrix_3,"L- Glutamine 0(15N), 0(13C)",11.74,163864,0,8730,-2.1,L- Glutamine
L- Glutamine,230831_Poo_G5_NFEX-CatEx_Full1,"L- Glutamine 0(15N), 0(13C)",11.36,1775462,507799,106215,-2.8,L- Glutamine
L- Glutamine,230831_Poo_G5_NFEX-CatEx_Full2,"L- Glutamine 0(15N), 0(13C)",11.25,1777744,559098,109956,-3.1,L- Glutamine
L- Glutamine,230831_Poo_G5_NFEX-CatEx_Full3,"L- Glutamine 0(15N), 0(13C)",11.46,259924,107315,24000,-2.9,L- Glutamine
L- Glutamine,230831_Poo_G5_NFEX-CatEx_Full4,"L- Glutamine 0(15N), 0(13C)",11.17,1687193,385239,128700,-2.3,L- Glutamine
L- Glutamine,230831_Poo_G5_NFEX-CatEx_Full5,"L- Glutamine 0(15N), 0(13C)",11.23,1962131,466582,141233,-3,L- Glutamine
L- Glutamine,230831_Poo_G5_NFEX-CatEx_Full6,"L- Glutamine 0(15N), 0(13C)",11.79,178218,74821,14379,-2.4,L- Glutamine
L- Glutamine,230831_Poo_G5_NFEX-CatEx_Full7,"L- Glutamine 0(15N), 0(13C)",11.23,609317,20575,27727,-2.5,L- Glutamine
L- Glutamine,230831_Poo_G5_NFEX-CatEx_Full8,"L- Glutamine 0(15N), 0(13C)",11.71,70618,126732,8170,-2.9,L- Glutamine
L- Glutamine,230831_Poo_G5_NFEX-CatEx_Full9,"L- Glutamine 0(15N), 0(13C)",11.71,184232,40092,13721,-2.5,L- Glutamine
L- Glutamine,230831_Poo_G5_NFEX-CatEx_Full10,"L- Glutamine 0(15N), 0(13C)",11.77,106641,84384,13852,-3.6,L- Glutamine
L- Glutamine,230831_Poo_G5_NFEX-CatEx_Full11,"L- Glutamine 0(15N), 0(13C)",11.04,631920,11486,28181,-3.1,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T0_Metab_A,"L- Glutamine 0(15N), 0(13C)",11.32,2818283,581188,133587,-3.2,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T0_Metab_B,"L- Glutamine 0(15N), 0(13C)",11.13,3575004,799570,134676,-2.8,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T0_Metab_C,"L- Glutamine 0(15N), 0(13C)",11.18,3282079,442680,245614,-2.8,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T6_NH4_Metab_A,"L- Glutamine 0(15N), 0(13C)",11.27,1221220,384079,94180,-3.3,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T6_NH4_Metab_B,"L- Glutamine 0(15N), 0(13C)",11.72,125459,3710,12960,-1.8,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T6_NH4_Metab_C,"L- Glutamine 0(15N), 0(13C)",11.32,263654,238793,11699,-2,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T6_NO3_Metab_A,"L- Glutamine 0(15N), 0(13C)",11.37,2294443,100954,76344,-3,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T6_NO3_Metab_B,"L- Glutamine 0(15N), 0(13C)",11.69,130778,157824,9590,-3.2,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T6_NO3_Metab_C,"L- Glutamine 0(15N), 0(13C)",11.23,458215,132094,24590,-2.6,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T6_Urea_Metab_A,"L- Glutamine 0(15N), 0(13C)",11.27,441615,352280,49344,-1.3,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T6_Urea_Metab_B,"L- Glutamine 0(15N), 0(13C)",11.2,416122,142872,20426,-2.2,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T6_Urea_Metab_C,"L- Glutamine 0(15N), 0(13C)",11.23,1615165,609552,49043,-2.3,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T12_NH4_Metab_A,"L- Glutamine 0(15N), 0(13C)",11.45,186502,319600,19728,-2.7,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T12_NH4_Metab_B,"L- Glutamine 0(15N), 0(13C)",11.79,72475,129857,10587,-2.6,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T12_NH4_Metab_C,"L- Glutamine 0(15N), 0(13C)",11.79,289732,260732,55159,-3.2,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T12_NO3_Metab_A,"L- Glutamine 0(15N), 0(13C)",11.3,513020,0,17338,-3,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T12_NO3_Metab_B,"L- Glutamine 0(15N), 0(13C)",11.94,187729,179012,11511,-2.9,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T12_NO3_Metab_C,"L- Glutamine 0(15N), 0(13C)",11.61,209166,216389,13335,-2.9,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T12_Urea_Metab_A,"L- Glutamine 0(15N), 0(13C)",11.55,41467,129130,4612,-2.5,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T12_Urea_Metab_B,"L- Glutamine 0(15N), 0(13C)",11.28,1651235,248232,71405,-3.4,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T12_Urea_Metab_C,"L- Glutamine 0(15N), 0(13C)",11.17,1061122,335236,74617,-3,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T24_NH4_Metab_A,"L- Glutamine 0(15N), 0(13C)",11.49,429892,98890,15037,-2.2,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T24_NH4_Metab_B,"L- Glutamine 0(15N), 0(13C)",11.68,140052,8701,11258,-2.2,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T24_NH4_Metab_C,"L- Glutamine 0(15N), 0(13C)",11.68,248807,22607,15572,-2.9,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T24_NO3_Metab_A,"L- Glutamine 0(15N), 0(13C)",11.74,94908,178253,7709,-2.4,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T24_NO3_Metab_B,"L- Glutamine 0(15N), 0(13C)",11.06,924850,124529,47247,-3.5,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T24_NO3_Metab_C,"L- Glutamine 0(15N), 0(13C)",11.29,337329,213944,23895,-2.3,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T24_Urea_Metab_A,"L- Glutamine 0(15N), 0(13C)",11.66,53247,91925,8345,-2.5,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T24_Urea_Metab_B,"L- Glutamine 0(15N), 0(13C)",11.71,718325,10491,20347,-2.3,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T24_Urea_Metab_C,"L- Glutamine 0(15N), 0(13C)",11.68,10877,58074,3463,-2.2,L- Glutamine
L- Glutamine,230831_Smp_G5_NFEX_T24_Urea_Metab_C_2ndInj,"L- Glutamine 0(15N), 0(13C)",11.69,65530,0,10681,-1.1,L- Glutamine
L- Glutamine,230831_Smp_LabBlk_1_A,"L- Glutamine 0(15N), 0(13C)",11.34,5183124,271217,176785,-3.1,L- Glutamine
L- Glutamine,230831_Smp_LabBlk_1_B,"L- Glutamine 0(15N), 0(13C)",11.4,900313,102862,39390,-2.4,L- Glutamine
